strategy,return_pct,trades,win_rate,max_drawdown
OI Contrarian,-2.6193938778195114,16,62.5,-6.993395187036462
OI Regime (liquidation),-2.2360218971260473,42,50.0,-8.341715476926773
OI Regime (squeeze),-3.436306492367749,40,50.0,-4.8164052988309285
OI Regime (both),1.9626153989904562,53,58.490566037735846,-7.367017162706777
Buy & Hold,-2.4721279479815506,1,0.0,N/A
