Strategy,Total Return %,Total Trades,Win Rate %,Max Drawdown %,Final Value $
Buy intraday low (hindsight) → Exit EOD,3.854483944993244,60,56.666666666666664,-10.191961886153269,10385.448394499324
Wait for -2% dump → Exit EOD,-3.46211150745592,7,42.857142857142854,-4.4825802368503895,9653.788849254408
On -1% dump → Exit at +1% profit,-11.648449660737642,4,100.0,-22.12245940540005,8835.155033926236
On -1% dump → Exit at +0.5% profit,-13.09738335242826,4,100.0,-22.122459405400047,8690.261664757174
On -1% dump → Exit after 6 hours,-16.386016818644837,17,29.411764705882355,-17.823132707930565,8361.398318135516
Wait for -1% dump → Exit EOD,-17.771802150164312,17,23.52941176470588,-19.14082068008621,8222.819784983569
On -1% dump → Exit after 4 hours,-18.75806071511726,17,17.647058823529413,-19.888456655506555,8124.193928488274
Wait for -0.5% dump → Exit EOD,-21.899647247823815,30,40.0,-23.719311534705355,7810.035275217619
Immediate @ 10 AM → Exit EOD,-25.86915357387652,60,46.666666666666664,-26.25335611560116,7413.084642612348
