Strategy,Return %,Trades,Win Rate %,Max DD %,Final Value $
Wait for -2% dump → Trailing stop 1.5%,12.466541723193368,4,100.0,-11.490217728326554,11246.654172319337
Wait for -1% dump → Trailing stop 1%,-12.765316324074993,4,75.0,-23.10879120996286,8723.4683675925
Wait for -0.5% dump → Trailing stop 1.5%,-15.609506199947173,0,0.0,-24.688533872764154,8439.049380005283
Wait for -1% dump → Trailing stop 1.5%,-15.609506199947173,0,0.0,-24.688533872764154,8439.049380005283
Wait for -1.5% dump → Trailing stop 1.5%,-15.609506199947173,0,0.0,-24.688533872764154,8439.049380005283
Wait for -1% dump → Trailing stop 2%,-15.609506199947173,0,0.0,-24.688533872764154,8439.049380005283
Immediate @ 10 AM → Trailing stop 1.5%,-16.90755518894952,0,0.0,-24.880655291679375,8309.244481105048
