strategy,category,return_pct,trades,win_rate,max_drawdown
OI Regime (both),OI Only,4.650215022941757,40,67.5,-4.485573544903574
OI+Funding (high),Combined,1.1663729950449124,7,71.42857142857143,-1.1703147704690857
OI Contrarian,OI Only,1.1030015918026037,11,72.72727272727273,-3.7249505305219603
OI+Funding (low),Combined,0.8559292407798421,11,72.72727272727273,-1.2853631889502983
OI+Funding (any),Combined,0.8222117427396916,33,57.57575757575758,-4.289482619902682
OI+Funding+PriceDrop,Combined,-0.7447179051223793,17,58.82352941176471,-3.16302454306274
Buy & Hold,Benchmark,-3.0073642241697285,1,0.0,N/A
Sentiment Score,Combined,-3.104259964205521,0,0.0,-9.1095693029024
