address,chain,name,ticker,entry_timestamp,entry_fdv,max_ath,mention_count,max_multiple,hit_3x,result
69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,solana,Xavier: Renegade Angel,xavier,2025-06-17 02:10:50.782,11900000.0,18900000.0,1,1.588235294117647,False,LOSS
5PsnNwPmMtsGZgG6ZqMoDJJi28BR5xpAotXHHiQhpump,solana,Cupsey,Cupsey,2025-06-17 18:05:00.385,4900000.0,20500000.0,2,4.183673469387755,True,WIN (3x)
HanwWd7qa9wBwmE223rTdACRgoSppkrMhQoCmHLypump,solana,Creator Capital Markets,CCM,2025-06-18 21:02:51.366,572000.0,1200000.0,1,2.097902097902098,False,LOSS
5oUzkFsCFMJJ23Z6Ghev5m7FjE6TtrqZJXUS7V5Smoon,solana,GET RICH QUICK,RICH,2025-06-28 14:45:07.861,4500000.0,8100000.0,1,1.8,False,LOSS
9oFK87efr78aq99bPoeYsLfkdjPtG8XtKMG3mAzUbonk,solana,STUPID INU,stupid,2025-07-05 18:04:43.363,481000.0,1800000.0,1,3.7422037422037424,True,WIN (3x)
97PVGU2DzFqsAWaYU17ZBqGvQFmkqtdMywYBNPAfy8vy,solana,Startup,STARTUP,2025-07-06 02:51:10.108,29700000.0,49600000.0,1,1.67003367003367,False,LOSS
2EYvskXTncMS11vejJcWHh8fPaCFy6bzDcVnmofEpump,solana,streamdotfun,STREAM,2025-09-15 16:09:19.359,1500000.0,9000000.0,1,6.0,True,WIN (3x)
0x4444457abE839b4853011b4BBece27Cdd7084E96,ethereum,小苏,UNK,2025-10-10 06:44:16.349,1700000.0,1900000.0,1,1.1176470588235294,False,LOSS
0xCa457bbadAEc0E6d4C8b216019530ddf3E1f4444,ethereum,山寨原本的价值是0,UNK,2025-10-11 13:43:46.477,1800000.0,1800000.0,1,1.0,False,LOSS
0x8700dAec35aF8Ff88c16BdF0418774CB3D7599B4,ethereum,Synthetix Network Token,SNX,2025-10-12 17:47:55.114,80800000.0,476000000.0,1,5.891089108910891,True,WIN (3x)
0xCfafECD0b8E866A0626166667Bb652beC9D14444,ethereum,BNBet,UNK,2025-10-13 03:50:50.845,6700000.0,6800000.0,1,1.0149253731343284,False,LOSS
0x7ec43Cf65F1663F820427C62A5780b8f2E25593A,ethereum,LAB,LAB,2025-10-16 05:16:07.644,217000000.0,218000000.0,1,1.0046082949308757,False,LOSS
0xf34B779C350A39E15DB4CD9754364b9f846fF088,ethereum,"standwithcrypto - $STANDWITHCRYPTO
Launched @ Zora on Base
FDV: $1.4M ➡︎ $1.6M",UNK,2025-10-25 22:50:44.172,1400000.0,1600000.0,1,1.1428571428571428,False,LOSS
GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,solana,1 coin can change your li..,1,2025-11-05 15:35:53.581,44300000.0,48300000.0,1,1.090293453724605,False,LOSS
oobQ3oX6ubRYMNMahG7VSCe8Z73uaQbAWFn6f22XTgo,solana,Oobit,OOB,2025-11-12 14:59:02.899,355000000.0,426000000.0,1,1.2,False,LOSS
CmgJ1PobhUqB7MEa8qDkiG2TUpMTskWj8d9JeZWSpump,solana,rainbowfish,FISH,2026-01-10 21:17:18.861,8300000.000000001,13000000.0,1,1.5662650602409636,False,LOSS
43uGwcykUgmtQYrgsSDk7VkFhgN3kH9aThYeyWnBpump,solana,Flufy,Flufy,2026-02-01 02:56:06.454,1200000.0,1200000.0,1,1.0,False,LOSS
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,solana,Buttcoin,Buttcoin,2026-02-02 01:08:14.854,21000000.0,25800000.0,1,1.2285714285714286,False,LOSS
9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,solana,Goyim,Goyim,2026-02-02 01:49:54.428,1300000.0,1700000.0,1,1.3076923076923077,False,LOSS
mysticrSzUfD2pz4RayXF5oEHGfNNAFsSY3z5hTQZSN,solana,MysticDAO,MYSTIC,2026-02-02 18:25:03.263,35200000.0,55800000.0,1,1.5852272727272727,False,LOSS
FYtP5AiiB4eUjVA88EeZS73PDpi7RPLusdqtXizYpump,solana,GOY,GOY,2026-02-02 22:02:57.646,1400000.0,1600000.0,1,1.1428571428571428,False,LOSS
6QBjp4h115hvHsWjisRCRKrfECGKFMdSkx1giYCjpump,solana,Block Lives Matter,BLM,2026-02-03 08:50:45.930,270000.0,270000.0,1,1.0,False,LOSS
