address,token,caller,entry_fdv,old_ath,new_ath,old_mult,new_mult,mult_diff
DwDtUqBZJtbRpdjsFw3N7YKB5epocSru25BGcVhfcYtg,Deep Worm,shawns,1300000.0,1300000.0,41800000.0,1.0,32.15384615384615,31.153846153846153
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Cooker,8100000.0,8300000.000000001,257000000.0,1.0246913580246917,31.728395061728396,30.703703703703702
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Peanut the Squirrel,wheat,71400000.0,129700000.0,2300000000.0,1.8165266106442577,32.212885154061624,30.396358543417367
9zM3Y4ANj5YKKBFxLRMGZhqBdC6PdHZVTojgVRhspump,dude,Cooker,5200.0,5200.0,146000.0,1.0,28.076923076923077,27.076923076923077
HM1qfMccuwNsjPTLUY4bHiYF3bSYzn65hZ5vH1P2MiLL,Fishwheel,melon,142000.0,142000.0,3700000.0,1.0,26.056338028169016,25.056338028169016
7x92Nt2kegSizDxoXvU6ApciGyGrtqp9ykyhUWoppump,Schizo,melon,18300.0,18300.0,446000.0,1.0,24.371584699453553,23.371584699453553
6WNva7iLjTvxSfXPSmbjceW5Yc41LUH4SJNqKom5pump,BITCOIN CAT,shawns,501800.0,527600.0,11100000.0,1.051414906337186,22.120366679952173,21.068951773614987
3xS7u5yiypvwha9uVtgNjSZWT7ChemByYQLRAEFFFE5u,shrek,melon,31900.0,31900.0,644000.0,1.0,20.188087774294672,19.188087774294672
GwawBpvPEAiZAi7HYJTtZtMKuamSdgAUBf4WshuJU777,inshallah,melon,12700.0,12700.0,228000.0,1.0,17.95275590551181,16.95275590551181
FDEF2U9geiWS7sdGPCUo2r1wGswkJr2mmVTECiH6pump,idrawline,Cooker,2400000.0,2400000.0,41000000.0,1.0,17.083333333333332,16.083333333333332
rnMLBLnUueJveGpLCS2BGsY3McJGRXZ8bqQ8eBWbonk,Murica Coin,Cooker,763000.0,763000.0,10800000.0,1.0,14.154652686762779,13.154652686762779
8Q194jXJLBdr7Dp5UYnHiv6ThELp33ZGKRyzpt5kjups,IMPULSE,Cooker,107000.0,107000.0,1500000.0,1.0,14.018691588785046,13.018691588785046
AtortPA9SVbkKmdzu5zg4jxgkR4howvPshorA9jYbonk,IKUN,Cooker,1700000.0,14800000.0,34500000.0,8.705882352941176,20.294117647058822,11.588235294117647
463vBSJt4CurDqEnojG3ykMy3Lf9GQF2hFV27JeZpump,HARLOD,Cooker,73100.0,73100.0,893000.0,1.0,12.216142270861834,11.216142270861834
x6d5AD1592ed9D6D1dF9b93c793AB759573Ed6714,CZ'S DOG,Cooker,29200000.0,29200000.0,332000000.0,1.0,11.36986301369863,10.36986301369863
7D1iYWfhw2cr9yBZBFE6nZaaSUvXHqG5FizFFEZwpump,yesnoerror,Cooker,3300000.0,4700000.0,32299999.999999996,1.4242424242424243,9.787878787878787,8.363636363636363
48TqCgU8zC2H5tWshNriY2bWHDULSTSvdgL4iP1Fpump,holo,melon,434000.0,434000.0,3500000.0,1.0,8.064516129032258,7.064516129032258
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Pharoh,32100000.0,32100000.0,257000000.0,1.0,8.006230529595015,7.006230529595015
